work_id,total_expenditure,expenditure_transaction_count,unique_vendor_count,duplicate_transaction_count,duplicate_group_count,potential_duplicate_amount_total,days_to_sanction,days_to_completion,expenditure_vs_sanction_ratio,disbursement_vs_sanction_ratio,last_expenditure_date,days_since_last_expenditure,expenditure_exceeds_sanction,disbursement_exceeds_sanction,completed_without_completion_date,completed_without_disbursement,expenditure_without_matching_work,high_transaction_count,multiple_vendors,has_potential_duplicate_transaction,potential_duplicate_transaction
WS/MP18187/2026-2027/257694,,0,0,0,0,0.0,234,,,,,,False,False,False,False,False,False,False,False,False
WS/MP18190/2025-2026/162238,189724.0,1,1,0,0,0.0,326,327,0.9985473684210526,0.9985473684210526,2025-11-26,283,False,False,False,False,False,False,False,False,False
WS/MP770/2025-2026/225547,,0,0,0,0,0.0,24,,,,,,False,False,False,False,False,False,False,False,False
WS/MP18338/2024-2025/152399,50000.0,1,1,0,0,0.0,67,67,1.0,1.0,2025-01-21,592,False,False,False,False,False,False,False,False,False
WS/MP18389/2026-2027/237044,499889.0,1,1,0,0,0.0,245,,0.999778,,2026-05-29,99,False,False,False,False,False,False,False,False,False
WS/MP770/2025-2026/188763,587102.0,1,1,0,0,0.0,41,307,0.9785033333333333,0.9785033333333333,2026-03-02,187,False,False,False,False,False,False,False,False,False
WS/MP770/2025-2026/233834,199991.0,1,1,0,0,0.0,61,,0.999955,,2026-05-16,112,False,False,False,False,False,False,False,False,False
WS/MP18389/2025-2026/228727,482651.0,1,1,0,0,0.0,83,83,0.965302,0.965302,2025-11-15,294,False,False,False,False,False,False,False,False,False
WS/MP18338/2024-2025/152451,50000.0,1,1,0,0,0.0,77,77,1.0,1.0,2025-01-31,582,False,False,False,False,False,False,False,False,False
WS/MP18393/2025-2026/160961,,0,0,0,0,0.0,112,,,,,,False,False,False,False,False,False,False,False,False
